OBJECTID,GEOID10,GlobalID,OCC_RES,OCC_BUS,VAC_RES,VAC_BUS,TotalAddresses,TotalOCC,TotalVAC,TotRES,TotBUS,PctVAC,Shape__Area,Shape__Length
1001,261635357002007,cd4b216a-ca6b-4ead-bf4c-bb9b1c5c40f7,35,,17,,52,35,17,52,0,0.326923076923077,331961.264648438,2694.20130305701
1002,261635356003006,0421451c-064a-4c02-ad3d-6df025381786,1,,,,1,1,0,1,0,,28639.44140625,816.202200923535
1003,261635356003013,972b931a-f3bc-44fd-8277-295fcc5fe5f8,10,1,,,11,11,0,10,1,,145994.820556641,1697.06989619231
1004,261635356003014,3c0eabe1-83e2-4b26-a789-c78754af9145,18,,1,,19,18,1,19,0,0.0526315789473684,148875.766357422,1588.65876313545
1005,261635347004015,53988ef7-bdbf-48c4-ad29-7c39f89b35b6,6,,1,,7,6,1,7,0,0.142857142857143,92734.669921875,1382.00807166153
1006,261635347004020,c7161a22-3d86-4545-a689-5ec57e780049,7,2,1,3,13,9,4,8,5,0.307692307692308,215371.057861328,2081.69906959394
1007,261635353005021,84bd4319-5bc7-46bd-a4ae-2bee53927264,24,1,4,,29,25,4,28,1,0.137931034482759,233596.419677734,2177.40517944165
1008,261635353003004,c1f3b0f8-61c8-4fd9-b25d-ec4a4dad4414,29,,7,,36,29,7,36,0,0.194444444444444,252888.097167969,2308.81449501983
1009,261635382002003,4d42a508-8716-4348-9736-7e7ec51b872d,9,,,,9,9,0,9,0,,291277.005859375,2397.92852810819
1010,261635382002024,c29617cf-b936-4e11-a9a3-db194045cfa4,10,,,,10,10,0,10,0,,254539.90625,2236.23916077753
1011,261635069003003,45ebcd90-fccc-44ad-9124-3e7e02b72ab1,25,,3,,28,25,3,28,0,0.107142857142857,241233.795898438,2282.1102892825
1012,261635069003004,ea0b033f-6efa-4008-a03d-c91088875441,23,,7,,30,23,7,30,0,0.233333333333333,234981.630859375,2267.3652064504
1013,261635069003005,c87afb11-0637-4f19-89a3-7a58795aa9dc,22,,10,,32,22,10,32,0,0.3125,228100.053710938,2250.73732030457
1014,261635070003001,a2d0c499-3c01-4de3-a21a-378a9d44ba27,7,,1,1,9,7,2,8,1,0.222222222222222,90685.3627929688,1212.83143299405
1015,261635070003007,45ddfcad-b032-4ce7-9690-08086835ae15,7,,4,,11,7,4,11,0,0.363636363636364,115667.074707031,1399.46774549295
1016,261635070003017,d8f67c97-d68f-431f-b523-48f18224fe00,15,,,,15,15,0,15,0,,118006.365234375,1414.22403487542
1017,261635070003000,00bc065d-e490-46e6-a579-464aa051cf3c,9,,,,9,9,0,9,0,,91058.2543945313,1214.75581817907
1018,261635069003006,47eb8742-e172-497d-a7b7-3e4a52d29d1b,29,1,,,30,30,0,29,1,,250803.099609375,2421.21081298534
1019,261635070003011,58f01c29-e642-484d-bb4e-06f022808b8a,15,,,,15,15,0,15,0,,143843.399414063,1533.48536511757
1020,261635069002003,7886a79c-06da-4f8f-9116-4f7f65190902,33,,4,,37,33,4,37,0,0.108108108108108,235710.172363281,2268.19222257273
1021,261635069001000,722873b6-5536-4eb6-a13e-267ba9dde983,25,,2,,27,25,2,27,0,0.0740740740740741,227508.221679688,2206.29014452598
1022,261635069002007,7429c7b6-7749-4d66-9767-fa21c814e6f8,22,1,7,,30,23,7,29,1,0.233333333333333,263654.651367188,2439.52294167082
1023,261635070002005,65efa89c-bc04-46bb-ae94-30b95df70405,12,2,,,14,14,0,12,2,,158814.625976563,1682.46169230624
1024,261635070003013,1d812340-25c3-46c1-a078-ba7a54984791,17,1,1,,19,18,1,18,1,0.0526315789473684,147429.878417969,1550.40854620177
1025,261635055002023,03d236bc-5788-4921-9527-274aeced9b44,16,1,8,,25,17,8,24,1,0.32,341746.680664063,3156.41986882285
1026,261635052001003,6ba81486-545a-48f2-9d2a-195e4ecf6e15,37,,7,,44,37,7,44,0,0.159090909090909,335204.685546875,2673.18789128398
1027,261635052003004,64a834c1-1017-4156-876f-6f4b9f855852,26,,5,,31,26,5,31,0,0.161290322580645,196469.193359375,1914.27622739785
