OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,City,TractBG,GlobalID,SqMiles,Acres
7366,26,163,538400,1,261635384001,Block Group 1,G5030,S,303493,0,+42.4298745,-083.1368220,Detroit,5384001,4f36ea46-b851-4fc4-b484-b694f32019ca,0.1171793,74.99475339
7367,26,163,538100,1,261635381001,Block Group 1,G5030,S,367927,0,+42.4425925,-083.1391653,Detroit,5381001,c73f88bf-6605-4462-85f5-9f71317af601,0.1420574,90.91674151
7368,26,163,537800,3,261635378003,Block Group 3,G5030,S,225740,0,+42.3894693,-083.1858008,Detroit,5378003,3e6a4e7a-36c1-4b82-8ecd-0360a88e1f67,0.0871587,55.7815687
7369,26,163,537800,2,261635378002,Block Group 2,G5030,S,364088,0,+42.3929397,-083.1849115,Detroit,5378002,618f8cf7-b8a8-4092-81ea-4e3c7f8132ef,0.14057516,89.96810395
7370,26,163,537800,1,261635378001,Block Group 1,G5030,S,237831,0,+42.3925871,-083.1937781,Detroit,5378001,b13b92d2-01fe-4b72-9bff-e55e75b07a31,0.09182706,58.76931986
7371,26,163,537700,3,261635377003,Block Group 3,G5030,S,325011,0,+42.3979586,-083.1961216,Detroit,5377003,81c98d57-6154-4629-95b2-16009da1a522,0.12548744,80.31196698
7372,26,163,537700,2,261635377002,Block Group 2,G5030,S,326901,0,+42.3981073,-083.1912188,Detroit,5377002,c19d38fd-7e7e-4839-82dc-37925a48d92a,0.12621718,80.77899615
7373,26,163,537700,1,261635377001,Block Group 1,G5030,S,292760,0,+42.3982391,-083.1865693,Detroit,5377001,d2576ff7-4fff-42b1-ba73-0bc990bb6d1c,0.11303526,72.34257134
7374,26,163,537600,1,261635376001,Block Group 1,G5030,S,212915,0,+42.4100908,-083.1941504,Detroit,5376001,59377998-1407-4b32-8bbc-5628ef96824c,0.08220694,52.61244219
7375,26,163,537500,5,261635375005,Block Group 5,G5030,S,161437,0,+42.4033962,-083.1963528,Detroit,5375005,dfbefcd1-a62f-498c-b338-a73026c569f5,0.06233117,39.89195139
7376,26,163,537500,4,261635375004,Block Group 4,G5030,S,160614,0,+42.4070130,-083.1965238,Detroit,5375004,d5e49ae1-9553-49f2-9d75-e821f7365300,0.06201341,39.68858366
7377,26,163,537500,3,261635375003,Block Group 3,G5030,S,162779,0,+42.4053273,-083.1927802,Detroit,5375003,a1150181-3384-4835-8298-294358febd55,0.06284932,40.22356681
7378,26,163,537500,2,261635375002,Block Group 2,G5030,S,239817,0,+42.4054179,-083.1897410,Detroit,5375002,97a76682-a111-4745-addd-a2927fc93c9f,0.09259386,59.26007115
7379,26,163,537500,1,261635375001,Block Group 1,G5030,S,215340,0,+42.4055189,-083.1863090,Detroit,5375001,d48966d5-a66b-40c5-a540-50b6134d0b6a,0.08314323,53.21167274
7380,26,163,537300,4,261635373004,Block Group 4,G5030,S,256189,0,+42.3838431,-083.1904069,Detroit,5373004,c65d76c5-842d-4dab-a9c5-41aa0a574976,0.09891512,63.30568045
7381,26,163,537300,3,261635373003,Block Group 3,G5030,S,292818,0,+42.3841897,-083.1858636,Detroit,5373003,1053c92c-5569-48f3-8a7a-f19aa276eacc,0.11305766,72.35690345
7382,26,163,537300,1,261635373001,Block Group 1,G5030,S,326983,0,+42.3890516,-083.1939910,Detroit,5373001,9656733f-c402-4291-afc7-4a05468efa8d,0.12624884,80.79925879
7383,26,163,537200,2,261635372002,Block Group 2,G5030,S,602827,0,+42.3856996,-083.1765727,Detroit,5372002,3b299d0a-240a-4b79-bb26-8bab0deeb9c5,0.2327528,148.96179551
7384,26,163,537200,1,261635372001,Block Group 1,G5030,S,609469,0,+42.3905690,-083.1751478,Detroit,5372001,56ec7e78-f2e3-4a0b-830d-c37a5fc745de,0.23531729,150.60306945
7385,26,163,537100,2,261635371002,Block Group 2,G5030,S,185187,0,+42.3999271,-083.1812749,Detroit,5371002,7da94cd9-5f37-4287-9b6c-36312e810149,0.0715011,45.76070419
7386,26,163,516500,1,261635165001,Block Group 1,G5030,S,1338782,1045874,+42.3375655,-083.0148583,Detroit,5165001,3f916478-e0aa-4999-a69c-d42f52cb348c,0.51690662,330.82023618
7387,26,163,516400,1,261635164001,Block Group 1,G5030,S,471915,0,+42.3484940,-083.0071515,Detroit,5164001,e42297c7-13f5-4133-bc4f-de451e310915,0.1822074,116.61273587
7388,26,163,516400,2,261635164002,Block Group 2,G5030,S,558582,0,+42.3528511,-083.0116940,Detroit,5164002,bdccfda2-2b09-4248-86c1-ded62e31b20d,0.21566971,138.02861792
7389,26,163,516300,1,261635163001,Block Group 1,G5030,S,619160,0,+42.3595713,-083.0152242,Detroit,5163001,634a7f36-520d-49cb-822e-137a01115dc8,0.23905901,152.99776769
7390,26,163,516200,2,261635162002,Block Group 2,G5030,S,321541,0,+42.3645129,-083.0193412,Detroit,5162002,0c1e5715-31d6-451f-96aa-cec1b74d50af,0.12414767,79.45451131
7391,26,163,516200,1,261635162001,Block Group 1,G5030,S,243672,0,+42.3683237,-083.0184084,Detroit,5162001,5357b788-eabf-4e8f-9d94-f8e3649ec872,0.09408228,60.21266239
7392,26,163,515600,1,261635156001,Block Group 1,G5030,S,318287,0,+42.3595628,-082.9887179,Detroit,5156001,c5a54b38-9376-48f4-9cbf-5b667b957590,0.12289129,78.6504304
7393,26,163,526000,2,261635260002,Block Group 2,G5030,S,678941,0,+42.3266565,-083.1380925,Detroit,5260002,c5b8204f-4fce-4f9a-9ee1-01ed336c1a53,0.26214058,167.76997448
7394,26,163,531700,2,261635317002,Block Group 2,G5030,S,516633,0,+42.3990036,-083.1165923,Detroit,5317002,de8a76de-fb26-46cb-b1dd-c0030ab8eccd,0.19947311,127.6627943
7395,26,163,530100,1,261635301001,Block Group 1,G5030,S,477276,0,+42.4055470,-083.1192523,Detroit,5301001,bd2965b3-e315-43b4-affd-d01936a4dd0e,0.18427729,117.93746782
7396,26,163,530200,3,261635302003,Block Group 3,G5030,S,183568,0,+42.4076209,-083.1295555,Detroit,5302003,a03cac22-9ba9-434c-a7d9-c8a6019a5379,0.070876,45.36064057
7397,26,163,530200,5,261635302005,Block Group 5,G5030,S,178254,0,+42.4075374,-083.1335493,Detroit,5302005,20724857-7307-48f5-973f-82d80cad9508,0.06882425,44.04752258
7398,26,163,530200,4,261635302004,Block Group 4,G5030,S,591321,0,+42.4112509,-083.1379376,Detroit,5302004,7d3c5526-c1ad-4a01-b76c-a109d0e9b496,0.22831031,146.11860099
7399,26,163,530500,3,261635305003,Block Group 3,G5030,S,220968,0,+42.3869107,-083.1348117,Detroit,5305003,3f318883-10fb-4f0f-bc70-13cc101d7fe4,0.08531622,54.60238182
7400,26,163,533400,4,261635334004,Block Group 4,G5030,S,389693,0,+42.3644320,-083.1248275,Detroit,5334004,1d58818f-f9fc-4bd4-80f6-477850f74881,0.1504613,96.29523723
7401,26,163,532700,2,261635327002,Block Group 2,G5030,S,170379,0,+42.3741013,-083.0959573,Detroit,5327002,7d87b12e-efb9-47b5-9900-ec4d0b29d380,0.06578369,42.1015677
7402,26,163,541100,4,261635411004,Block Group 4,G5030,S,463620,0,+42.4196348,-083.2465265,Detroit,5411004,32aaa73f-db1c-4164-bfed-8dafcc207a43,0.17900468,114.56299673
7403,26,163,541500,4,261635415004,Block Group 4,G5030,S,460407,0,+42.4390964,-083.2640814,Detroit,5415004,4097f17e-c3e8-4b00-95e3-e0154162a2a9,0.17776413,113.76904715
7404,26,163,541000,2,261635410002,Block Group 2,G5030,S,466698,0,+42.4346938,-083.2514634,Detroit,5410002,4cb88c75-5aa1-455e-b2fc-58ff273f0a60,0.1801931,115.3235871
7405,26,163,541000,3,261635410003,Block Group 3,G5030,S,465116,0,+42.4310814,-083.2513333,Detroit,5410003,39f7a044-38af-4866-8083-bcb97f250d05,0.17958229,114.93266638
7406,26,163,544200,2,261635442002,Block Group 2,G5030,S,452738,0,+42.4071736,-083.2650948,Detroit,5442002,dbd160a4-95b6-4dbc-b48c-43b56fbf78ad,0.17480311,111.87399598
7407,26,163,544300,3,261635443003,Block Group 3,G5030,S,645146,0,+42.4107765,-083.2816985,Detroit,5443003,5e668215-353d-4b19-89f5-8c58dc9b8b42,0.24909226,159.41904813
7408,26,163,544200,3,261635442003,Block Group 3,G5030,S,561426,0,+42.4051746,-083.2601328,Detroit,5442003,ceeda427-61b0-4776-ba5c-2a56f9d8281a,0.21676779,138.73138563
