OBJECTID,GEOID10,Sum_ViolentCrime,Sum_PropertyCrime,Shape__Area,Shape__Length
1001,261635468002004,0,1,119374.752929688,1388.6071920657
1002,261635455001006,1,4,284836.613769531,2387.54610679006
1003,261635457001022,0,3,146269.568603516,1580.49886593467
1004,261635457001017,1,4,269404.680419922,2210.07085898726
1005,261635457002013,0,3,244699.913818359,2139.54739571088
1006,261635139003013,0,1,185596.552001953,1945.86995390655
1007,261635136001007,0,0,336810.376464844,2647.30231222678
1008,261635139001007,1,0,344857.446289063,2580.29679733471
1009,261635136001011,0,1,362571.760009766,2841.51636303848
1010,261635136001012,0,8,319334.698242188,2725.20646207023
1011,261635137001003,0,2,653314.096679688,4417.52201362742
1012,261635156002020,0,2,306721.672363281,2625.50610206187
1013,261635156002021,0,0,102451.465576172,1610.47595121149
1014,261635156002027,0,3,118490.435058594,1379.24610574627
1015,261635156002019,1,1,306415.258300781,2621.68521488963
1016,261635365003014,0,0,25989.5153808594,1727.53530013846
1017,261635424002001,0,7,257403.407226563,2346.86997113195
1018,261635033003014,1,4,222384.680664063,1993.62066117984
1019,261635049003015,0,5,195404.989257813,1829.3561309736
1020,261635011001002,0,2,224846.813476563,1985.1983963677
1021,261635157002003,5,11,721732.093505859,4088.33467507076
1022,261635137001012,0,1,360060.621826172,3076.53553290219
1023,261635126004009,1,4,667252.231933594,5100.89525352217
1024,261635126004008,0,1,293385.612060547,2467.00787733361
1025,261635073003031,0,0,214809.693359375,1959.45467358903
1026,261635104002001,1,2,1154929.52050781,4430.21592297565
1027,261635075001023,0,0,11332.53515625,463.15948905345
1028,261635074003005,1,3,284775.493652344,2382.56985406208
1029,261635074001002,1,0,305177.864257813,2507.33635663623
1030,261635069005002,0,1,255290.013183594,2270.10496367732
1031,261635071002000,4,2,269481.747070313,2379.4126457642
1032,261635071001002,2,1,244008.895507813,2320.15125623328
1033,261635107001006,0,0,199282.666503906,2012.63274599928
1034,261635107001010,1,1,207290.980957031,2036.79505831954
1035,261635110002045,0,0,204725.119628906,1964.96037208643
1036,261635110004002,2,2,448653.747558594,4012.95878564221
1037,261635047002006,0,4,173555.783203125,1695.28445715473
1038,261635047002017,0,2,232190.856445313,2164.1416677511
1039,261635005001014,0,1,198242.408691406,1932.8456085999
1040,261635010003007,4,1,243106.408691406,2153.3117264976
1041,261635005001008,1,2,163306.77734375,1732.32112346372
1042,261635005001009,1,1,109226.828613281,1312.03002911767
1043,261635009004005,1,7,283799.864257813,2425.46564274982
1044,261635018001000,5,8,218153.8203125,2003.63282592591
1045,261635019001005,0,7,189813.2890625,1895.13597485931
1046,261635019001008,1,0,189851.337402344,1895.69466485801
1047,261635019002002,0,2,189247.705566406,1892.38867243616
1048,261635019002001,1,8,190195.796386719,1895.88345062842
1049,261635018003006,3,4,198416.477050781,1921.36151111805
1050,261635019002003,1,3,189399.063964844,1894.07498376353
1051,261635019002008,2,1,189712.767089844,1894.67408687303
1052,261635018001004,1,4,231366.840820313,2042.69978142058
1053,261635018001007,2,7,404657.609375,3176.11869420557
1054,261635018004006,1,3,266598.815917969,2378.75308399398
1055,261635211002008,0,1,96274.392578125,1305.31046851573
1056,261635129001011,1,1,121030.218505859,1964.2923923588
1057,261635132003000,0,0,159098.342285156,2155.04826181664
1058,261635132001004,0,1,251791.116455078,3295.87778574486
1059,261635408002004,6,1,183059.404785156,1790.1707270091
1060,261635122001010,0,2,77952.0317382813,1098.97624580981
1061,261635426004004,0,2,276632.063476563,2350.27802530098
1062,261635424002008,1,1,245505.177490234,2268.33283782689
1063,261635426001009,4,4,808655.423095703,3567.17331154548
1064,261635426001001,0,2,264514.041748047,2270.84924359938
1065,261635426004003,0,1,280266.138671875,2359.96334197992
1066,261635451003020,1,0,273704.038330078,2330.07986188495
1067,261635451002005,0,0,258756.775878906,2237.23738893755
1068,261635452001007,2,16,280414.447753906,2372.33698464928
1069,261635467002000,2,1,169452.514892578,1836.84896259765
1070,261635453002024,0,0,56159.3286132813,2440.65752075801
1071,261635453002010,0,0,113186.893310547,1599.47420780775
1072,261635453002001,1,2,224236.808349609,2014.0967779006
1073,261635453002016,0,1,245744.924560547,2392.22014594288
1074,261635460002009,1,4,211607.690917969,1958.89309267486
1075,261635459001004,3,5,429454.644287109,3314.29303575273
1076,261635456005003,3,1,73904.4514160156,2874.50761857362
1077,261635458001001,0,0,86215.6267089844,2771.27351435959
1078,261635453002015,0,6,345752.130371094,2781.6354563054
1079,261635453003005,2,2,294678.473876953,2422.57058665269
1080,261635453001007,0,1,312414.876708984,2730.39777104927
1081,261635455003000,1,3,281933.264648438,2430.73891668146
1082,261635455004001,1,4,275147.636230469,2366.58942323779
1083,261635454001009,1,1,217901.632080078,1983.30535682653
1084,261635455006003,0,2,271045.546142578,2357.58813937482
1085,261635456004000,3,8,435251.66015625,3298.6389494768
1086,261635455006005,0,1,294666.837402344,2415.27693839938
1087,261635456003003,3,9,431132.135009766,3274.30906275555
1088,261635455005001,6,4,294904.574951172,2449.96461460891
1089,261635454001011,0,1,221275.329345703,1989.32092730633
1090,261635455001005,1,5,287761.243164063,2393.85817380135
1091,261635469001037,1,0,518299.927246094,2934.16970811514
1092,261635469001038,0,0,286043.074951172,2404.47113817651
