X,Y,OBJECTID,PARCEL_ID,addcombo,PROP_CITY_NM,PROP_STATE,PROP_ZIP_CD,FINAL_BID_AMT
13502057.403215229511261,344958.460301831364632,7001,21022049.,15290 CORAM,DETROIT,MI,48205,
13503270.113845139741898,347023.381561681628227,7002,21024751.,15694 ROSSINI DRIVE,DETROIT,MI,48205,
13502881.064632549881935,347847.53674541413784,7003,21025836.002L,15623 EASTBURN,DETROIT,MI,48205,
13502088.901246726512909,346271.581692919135094,7004,21023545.,15310 TACOMA,DETROIT,MI,48205,
13503798.333661422133446,345873.622047245502472,7005,21022958.,15857 LIBERAL,DETROIT,MI,48205,4100
13502347.934383198618889,348135.793307080864906,7006,21026260.,15457 BRINGARD DR,DETROIT,MI,48205,
13503589.853018373250961,346879.285761147737503,7007,21024561.,15825 E STATE FAIR,DETROIT,MI,48205,
13502985.190288707613945,347528.414041996002197,7008,21025432.002L,15639 FAIRMOUNT DR,DETROIT,MI,48205,
13502957.24081364274025,348815.695538058876991,7009,21027214.,15645 COLLINGHAM,DETROIT,MI,48205,
13502404.057086616754532,347170.060367450118065,7010,21025002.,15455 ROSSINI DRIVE,DETROIT,MI,48205,
13502945.864829391241074,345841.85728345811367,7011,21022936.,15619 LIBERAL,DETROIT,MI,48205,
13503250.462926506996155,346313.676837265491486,7012,21023533.,15682 TACOMA,DETROIT,MI,48205,
13502985.838582679629326,345843.700459316372871,7013,21022937.,15629 LIBERAL,DETROIT,MI,48205,
13502479.9498031437397,347174.135826766490936,7014,21025004.,15469 ROSSINI DRIVE,DETROIT,MI,48205,
13505821.534448817372322,330985.440288707613945,7015,21066257.,5051 BEACONSFIELD,DETROIT,MI,48224,
13505823.670603677630424,331599.255249351263046,7016,21066900.,5229 NOTTINGHAM,DETROIT,MI,48224,
13502703.598097115755081,347327.670275583863258,7017,21025175.,15514 FAIRMOUNT DR,DETROIT,MI,48205,
13502717.672244101762772,346995.3001968562603,7018,21024765.,15514 ROSSINI DRIVE,DETROIT,MI,48205,
13504283.728346452116966,347398.978018373250961,7019,21025147.,16032 FAIRMOUNT DR,DETROIT,MI,48205,
13503642.474081367254257,345867.223425194621086,7020,21022953-4,15827 LIBERAL,DETROIT,MI,48205,
13502446.998687669634819,346829.322834640741348,7021,21024532.,15459 E STATE FAIR,DETROIT,MI,48205,
13502762.503608927130699,348294.218503937125206,7022,21026486.,15600 EDMORE DR,DETROIT,MI,48205,
13503939.267388448119164,349180.912729665637016,7023,21027719.,15913 CARLISLE,DETROIT,MI,48205,10000
13504565.346128612756729,348048.099409446120262,7024,21025974.,16094 BRINGARD DR,DETROIT,MI,48205,8300
13504572.295931756496429,347267.737860888242722,7025,21025047.,16087 ROSSINI DRIVE,DETROIT,MI,48205,
13504100.870406821370125,334909.604658797383308,7026,21065269.,9502 GREENSBORO,DETROIT,MI,48224,
13504102.788385823369026,334874.702099740505219,7027,21065268.,9494 GREENSBORO,DETROIT,MI,48224,
13505955.852034121751785,331096.978018373250961,7028,21065689.,5056 BEACONSFIELD,DETROIT,MI,48224,
13505967.216535434126854,331327.728346452116966,7029,21066906.,5099 NOTTINGHAM,DETROIT,MI,48224,
13504125.193897634744644,334455.292979001998901,7030,21065256.,9410 GREENSBORO,DETROIT,MI,48224,
13501045.520669296383858,335081.824475064873695,7031,21055526-8,9734 CHALMERS,DETROIT,MI,48213,
13504806.172572180628777,331911.316929131746292,7032,21065086.,5545 LAKEPOINTE,DETROIT,MI,48224,
13503878.380905508995056,334016.53740157186985,7033,21005323.,15223 EVANSTON,DETROIT,MI,48224,
13504342.912729665637016,333199.654527559876442,7034,21064699.,5950 LAKEPOINTE,DETROIT,MI,48224,
13501657.904527559876442,334801.342191606760025,7035,21007108.,14938 ELMDALE,DETROIT,MI,48224,
13502386.600065618753433,335758.23162730038166,7036,21008710.,15324 PROMENADE,DETROIT,MI,48224,
13502600.514435693621635,340104.750328078866005,7037,21015993.,15436 HAZELRIDGE,DETROIT,MI,48205,
13503133.478674545884132,340999.475393697619438,7038,21016847.,15620 SEYMOUR,DETROIT,MI,48205,
13504316.073818892240524,328951.285104990005493,7039,21059373.,4700 MARLBOROUGH,DETROIT,MI,48215,
13503219.230643048882484,335036.195209980010986,7040,21063804.,9703 WAYBURN,DETROIT,MI,48224,
13500651.733267709612846,337104.713910758495331,7041,21009872.,14728 KILBOURNE,DETROIT,MI,48213,
13502471.556102365255356,342208.910104990005493,7042,21017976.,15427 PARK GROVE,DETROIT,MI,48205,
13503996.138123363256454,343047.22670604288578,7043,21018939.,15875 FAIRCREST,DETROIT,MI,48205,
13506364.074475064873695,331922.568569555878639,7044,21068759.,5233 BALFOUR,DETROIT,MI,48224,
13506166.901574805378914,346612.278871387243271,7045,21023952.,16543 TACOMA,DETROIT,MI,48205,
13502517.127952754497528,342608.908464565873146,7046,21018351.,15440 LINNHURST,DETROIT,MI,48205,
13502365.335629925131798,342027.870734915137291,7047,21017704.,15400 PARK GROVE,DETROIT,MI,48205,
13503934.206364825367928,337326.725065618753433,7048,21058555.,10810 STRATMANN,DETROIT,MI,48224,
13507817.86581364274025,332061.309383198618889,7049,21070043.,5056 HAVERHILL,DETROIT,MI,48224,
13457690.21259842813015,326260.517060369253159,7050,12004319.,3351 TYLER,DETROIT,MI,48238,
13511081.48162730038166,336801.34251968562603,7051,21075947.,5974 WOODHALL,DETROIT,MI,48224,
13502525.754265084862709,333933.038385823369026,7052,21061402.,9201 MANISTIQUE,DETROIT,MI,48224,
13503607.177165359258652,334306.06003937125206,7053,21065042.,9203 LAKEPOINTE,DETROIT,MI,48224,
13503928.297900259494781,334618.696522310376167,7054,21065384.,9445 GREENSBORO,DETROIT,MI,48224,
13503910.215223103761673,334969.408792644739151,7055,21065374.,9515 GREENSBORO,DETROIT,MI,48224,
13503912.040354326367378,334933.242782145738602,7056,21065375.,9509 GREENSBORO,DETROIT,MI,48224,
13503588.520669296383858,334681.136154860258102,7057,21065033.,9459 LAKEPOINTE,DETROIT,MI,48224,
13505039.249015748500824,331862.853674545884132,7058,21064670.,5516 LAKEPOINTE,DETROIT,MI,48224,
13502986.466535434126854,332577.474409446120262,7059,21061425.,5969 MANISTIQUE,DETROIT,MI,48224,
13500800.623359575867653,336803.114829391241074,7060,21009439.,14742 ROSEMARY,DETROIT,MI,48213,
13501154.151246726512909,335144.054790019989014,7061,21007484.,14444 LONGVIEW,DETROIT,MI,48213,
13500824.364173233509064,336262.912729665637016,7062,21009149.,14483 PROMENADE,DETROIT,MI,48213,
13502083.814304456114769,334707.307414695620537,7063,21056366.,9522 HAYES,DETROIT,MI,48213,
13502374.861876636743546,334508.437335953116417,7064,21060368.,9440 PHILIP,DETROIT,MI,48224,
13502870.2890419960022,341172.66240157186985,7065,21017125.,15501 SEYMOUR,DETROIT,MI,48205,
13502727.769356951117516,343457.12007874250412,7066,21076742.,18843 MORANG,DETROIT,MI,48205,
13502990.919619426131248,344014.064632549881935,7067,21020630.,15580 E SEVEN MILE,DETROIT,MI,48205,
13503030.93011811375618,342512.296916007995605,7068,21018311.,15611 GLENWOOD,DETROIT,MI,48205,
13501727.045275583863258,345261.801181107759476,7069,21022394.,15226 NOVARA,DETROIT,MI,48205,
13502118.138779520988464,339679.298228353261948,7070,21015416.,15263 ROCHELLE,DETROIT,MI,48205,
13502130.229986876249313,339509.25,7071,21015120.,15262 ROCHELLE,DETROIT,MI,48205,8900
13502115.336286082863808,340680.673228353261948,7072,21016577.,15268 TROESTER,DETROIT,MI,48205,
13502497.706364825367928,342033.029527559876442,7073,21017701.,15430 PARK GROVE,DETROIT,MI,48205,
13502717.52263779938221,336367.8001968562603,7074,21069477.,10635 BONITA,DETROIT,MI,48224,
13458100.679133862257004,327808.531167984008789,7075,12004620.,2999 GRAND,DETROIT,MI,48238,
13508144.418307080864906,329771.310367450118065,7076,21069386.,4327 BERKSHIRE,DETROIT,MI,48224,
13508475.424540683627129,330123.428805768489838,7077,21069680.,4360 BUCKINGHAM,DETROIT,MI,48224,3700
13512285.899934381246567,335615.717191606760025,7078,21077227.,5325 HEREFORD,DETROIT,MI,48224,
13512304.572834640741348,334708.36581364274025,7079,21076302.,5125 NEFF,DETROIT,MI,48224,
13501890.804133862257004,343010.216207355260849,7080,21018898.,15241 FAIRCREST,DETROIT,MI,48205,
