OBJECTID,GEOID10,NAMELSAD10,SqMiles,Acres,CounciDist,Likely_Occupied,Potentially_Vacant,Likely_Vacant,VeryLikely_Vacant,Total_MCM_Parcel_Count,Pct_Likely_Occupied,Pct_Potentially_Vacant,Pct_Likely_Vacant,Pct_VeryLikely_Vacant
1,26163524800,Census Tract 5248,0.43178769,276.3441252,6,976,123,118,80,1297,75.2505782575173,9.4834232845027,9.09791827293755,6.16808018504241
2,26163521900,Census Tract 5219,0.65345821,418.21325496,6,444,42,27,28,541,82.0702402957486,7.7634011090573,4.99075785582255,5.17560073937153
3,26163521800,Census Tract 5218,0.08683707,55.57572992,6,25,1,,,26,96.1538461538462,3.84615384615385,,
4,26163521500,Census Tract 5215,0.58221927,372.62033533,6,241,37,29,34,341,70.6744868035191,10.8504398826979,8.50439882697947,9.97067448680352
5,26163521400,Census Tract 5214,0.50410501,322.62721017,6,310,26,19,15,370,83.7837837837838,7.02702702702703,5.13513513513514,4.05405405405405
6,26163521300,Census Tract 5213,0.37420171,239.48909894,6,226,61,49,30,366,61.7486338797814,16.6666666666667,13.3879781420765,8.19672131147541
7,26163521100,Census Tract 5211,0.61777542,395.37626986,6,387,38,25,18,468,82.6923076923077,8.11965811965812,5.34188034188034,3.84615384615385
8,26163985300,Census Tract 9853,0.42678612,273.1431221,6,45,18,13,5,81,55.5555555555556,22.2222222222222,16.0493827160494,6.17283950617284
9,26163520800,Census Tract 5208,0.52057922,333.17070257,6,72,4,3,2,81,88.8888888888889,4.93827160493827,3.7037037037037,2.46913580246914
10,26163520700,Census Tract 5207,0.2963056,189.63558833,6,72,15,14,7,108,66.6666666666667,13.8888888888889,12.962962962963,6.48148148148148
11,26163520400,Census Tract 5204,0.15813895,101.20892773,6,109,18,13,3,143,76.2237762237762,12.5874125874126,9.09090909090909,2.0979020979021
12,26163520300,Census Tract 5203,0.17417724,111.47343816,6,118,18,10,5,151,78.1456953642384,11.9205298013245,6.62251655629139,3.3112582781457
13,26163516900,Census Tract 5169,0.23750263,152.0016859,5,31,1,,,32,96.875,3.125,,
14,26163516800,Census Tract 5168,0.37963726,242.9678485,5,228,80,62,91,461,49.4577006507592,17.353579175705,13.4490238611714,19.7396963123644
15,26163516700,Census Tract 5167,0.46300907,296.32580763,5,101,,2,,103,98.0582524271845,,1.94174757281553,
